City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,khabarovsk,48.4808,135.0928,18.89,88,0,0.0,RU,1689251231
320,pathein,16.7833,94.7333,26.55,89,100,2.82,MM,1689251516
321,opuwo,-18.0607,13.84,22.87,15,0,3.04,NA,1689251516
322,scarborough,54.2797,-0.4044,21.07,56,18,1.34,GB,1689251300
323,singaraja,-8.112,115.0882,25.58,83,55,2.76,ID,1689251517
324,lata,40.1629,-8.3327,28.6,45,6,3.99,PT,1689251518
325,burang,30.25,81.1667,10.93,84,100,1.71,CN,1689251518
326,kudahuvadhoo,2.6708,72.8944,28.23,73,8,1.91,MV,1689251519
327,filadelfia,39.9523,-75.1638,26.7,85,75,3.09,US,1689251236
328,plettenberg bay,-34.0527,23.3716,16.7,62,0,3.82,ZA,1689251520
329,salinopolis,-0.6136,-47.3561,28.37,74,3,4.92,BR,1689251520
330,kiruna,67.8557,20.2251,16.51,67,100,7.2,SE,1689251521
331,crane,31.3974,-102.3501,27.04,58,34,5.67,US,1689251521
332,fort-shevchenko,44.5086,50.263,25.04,58,2,6.33,KZ,1689251522
333,sao miguel do araguaia,-13.275,-50.1628,31.48,24,0,2.49,BR,1689251523
334,ozimek,50.6794,18.2137,20.56,85,100,1.3,PL,1689251523
335,new norfolk,-42.7826,147.0587,13.84,55,100,3.87,AU,1689251524
336,puerto deseado,-47.7503,-65.8938,3.85,87,100,5.21,AR,1689251524
337,calipatria,33.1256,-115.5142,33.27,39,70,2.14,US,1689251525
338,kangding,30.0513,101.9603,17.23,99,100,2.13,CN,1689251526
339,manoharpur,27.3,75.95,32.06,57,73,5.28,IN,1689251526
340,sanming,26.2486,117.6186,29.05,66,100,1.35,CN,1689251527
341,gizo,-8.103,156.8419,26.8,82,100,6.79,SB,1689251527
342,banjar,-8.19,114.9675,24.16,89,31,2.94,ID,1689251528
343,rumonge,-3.9736,29.4386,26.67,50,4,2.11,BI,1689251529
344,kapuskasing,49.4169,-82.4331,14.05,88,40,1.03,CA,1689251529
345,aral,40.5156,81.2636,35.82,15,0,4.52,CN,1689251530
346,bardai,11.65,7.2333,32.64,40,58,2.06,NG,1689251530
347,kristiansund,63.1115,7.732,16.03,77,75,2.57,NO,1689251531
348,ji'an,27.1172,114.9793,31.65,53,100,2.13,CN,1689251532
349,sirte,31.2089,16.5887,28.73,52,0,5.6,LY,1689251533
350,thu dau mot,10.9667,106.65,28.03,94,75,1.03,VN,1689251534
351,adam,22.3756,57.5233,42.5,19,100,3.41,OM,1689251534
352,bubaque,11.2833,-15.8333,27.78,78,35,3.2,GW,1689251535
353,praia da vitoria,38.7333,-27.0667,24.14,78,40,6.44,PT,1689251535
354,enriquillo,17.9,-71.2333,25.82,86,100,5.67,DO,1689251536
355,bengkulu,-3.8004,102.2655,26.44,78,91,4.17,ID,1689251296
356,bria,6.5423,21.9863,30.75,58,13,1.14,CF,1689251537
357,kerikeri,-35.2268,173.9474,11.62,92,10,1.34,NZ,1689251537
358,susz,53.7174,19.3365,24.84,55,100,2.99,PL,1689251538
359,siwa oasis,29.2041,25.5195,36.24,11,2,3.91,EG,1689251538
360,albertina,-22.2008,-46.6158,21.15,42,71,5.48,BR,1689251539
361,salekhard,66.53,66.6019,16.46,35,0,4.36,RU,1689251540
